"Sample_ID","SampleFileName","SRA_accession","Biosample_accession","gini_simpson"
"0-kraken_report","4717_003","SRR29355753","SAMN41785205",0.352673274827163
"1-kraken_report","4717_008","SRR29355752","SAMN41785206",0.660641845882932
"2-kraken_report","4717_010","SRR29355741","SAMN41785207",0.66643806788808
"3-kraken_report","4717_012","SRR29355730","SAMN41785208",0.566466338582945
"4-kraken_report","4717_013","SRR29355727","SAMN41785209",0.72528878311619
"5-kraken_report","4717_014","SRR29355726","SAMN41785210",0.977554068072428
"6-kraken_report","4717_016","SRR29355725","SAMN41785211",0.988457950610346
"7-kraken_report","4717_018","SRR29355724","SAMN41785212",0.264151474665169
"8-kraken_report","4717_020","SRR29355723","SAMN41785213",0.852018843557896
"9-kraken_report","4717_022","SRR29355722","SAMN41785214",0.146991706032654
"10-kraken_report","4717_024","SRR29355751","SAMN41785215",0.311097639366885
"11-kraken_report","4717_026","SRR29355750","SAMN41785216",0.425067575445818
"12-kraken_report","4717_028","SRR29355749","SAMN41785217",0.63649884938736
"13-kraken_report","4717_030","SRR29355748","SAMN41785218",0.971130654638032
"14-kraken_report","4717_032","SRR29355747","SAMN41785219",0.521230361971485
"15-kraken_report","4717_033","SRR29355746","SAMN41785220",0.846667510614427
"16-kraken_report","4717_035","SRR29355745","SAMN41785221",0.504646699252639
"17-kraken_report","4717_036","SRR29355744","SAMN41785222",0.846638823157925
"18-kraken_report","4717_037","SRR29355743","SAMN41785223",0.197268463994755
"19-kraken_report","4717_038","SRR29355742","SAMN41785224",0.674118205436926
"20-kraken_report","4717_040","SRR29355740","SAMN41785225",0.26529721191365
"21-kraken_report","4717_041","SRR29355739","SAMN41785226",0.908241823874281
"22-kraken_report","4717_042","SRR29355738","SAMN41785227",0.280223831479726
"23-kraken_report","4717_043","SRR29355737","SAMN41785228",0.765496894071793
"24-kraken_report","4717_044","SRR29355736","SAMN41785229",0.868849587131639
"25-kraken_report","4717_047","SRR29355735","SAMN41785230",0.0489180846141631
"26-kraken_report","4717_051","SRR29355734","SAMN41785231",0.55868696593467
"27-kraken_report","4717_054","SRR29355733","SAMN41785232",0.44318008392839
"28-kraken_report","4717_058","SRR29355732","SAMN41785233",0.960526133847399
"29-kraken_report","4717_081","SRR29355731","SAMN41785234",0.622912345946368
"30-kraken_report","4717_082","SRR29355729","SAMN41785235",0.907068822736568
"31-kraken_report","4717_083","SRR29355728","SAMN41785236",0.567204083947797
